A,B,C,D,E,F
,,,,802824916842,0.25
,,,,880153723108718520,0.3
,,,,802720915434,0.1
,,,,560079876200,0.09
,,,,802632778948,0.08
,,,,802632921895,0.15
,,,,880152574087586207,0.1
,,,,802824941461,0.1
,,,,3803958082,0.15
,,,,600046280817,0.2
,,,,802720917393,0.1
,,,,802720949867,0.1
,,,,802633043591,0.15
,,,,802633081010,0.1
,,,,802720959956,0.05
,,,,100293625311,0.24
,,,,880150036938304489,0.85
,,,,802633077817,0.15
,,,,802632924264,0.3
,,,,802720973963,0.06
,,,,100363329822,0.27
,,,,100374194727,0.96
,,,,802720946193,0.12
,,,,802633049449,0.15
,,,,802824902043,0.05
,,,,600093465387,0.2
,,,,100374194441,0.3
,,,,802632740911,0.95
,,,,500147990643,0.16
,,,,100363334863,0.3
,,,,802632938872,0.15
,,,,802720881971,0.15
,,,,500132958234,1.75
,,,,802720968325,0.15
,,,,802633011030,0.15
,,,,802632787817,0.15
,,,,802632928203,0.3
,,,,9206550451,0.2
,,,,880151412453304489,0.05
,,,,880150809023647813,0.25
,,,,100374194061,0.77
,,,,100363334838,0.25
,,,,802720961784,0.1
,,,,802720839957,0.05
,,,,802633055967,0.1
,,,,802720923021,0.1
,,,,802720929996,0.1
,,,,100363326064,0.38
,,,,100360194779,0.4
,,,,802720945780,0.15
,,,,802824905196,0.15
,,,,802720951055,0.1
,,,,200172513077,0.65
,,,,500147990295,1.09
,,,,802632794288,0.4
,,,,802633063548,0.15
,,,,802720932779,0.14
,,,,802720926340,0.15
,,,,802547044915,0.12
,,,,802824915065,0.1
,,,,802632792828,0.05
,,,,100374198079,0.4
,,,,880154242918465095,0.05
,,,,802633071172,0.14
,,,,880150350033879136,0.6
,,,,560093847408,0.25
,,,,100363334774,0.9
,,,,802720899767,0.1
,,,,802720931007,0.05
,,,,100363312114,0.85
,,,,802720867232,0.15
,,,,802720976265,0.1
,,,,100348098916,0.4
,,,,802633077267,0.15
,,,,802720955661,0.22
,,,,600066081966,0.58
,,,,802720923136,0.1
,,,,802546920458,0.12
,,,,500132988001,0.24
,,,,100360187140,10.25
,,,,200172513073,1
,,,,802720918218,0.15
,,,,802824906426,0.14
,,,,802632988517,0.15
,,,,880149321734314580,0.05
,,,,880151087032314580,0.2
,,,,802633079572,0.15
,,,,100306951681,0.2
,,,,100348124400,0.6
,,,,802720950244,0.1
,,,,802824916020,0.1
,,,,802632868334,0.1
,,,,802633053100,0.15
,,,,100363327267,0.14
,,,,100348079521,1
,,,,802632934166,0.15
,,,,802633042736,0.1
,,,,880148518951728621,0.15
,,,,880149930785758924,0.45
,,,,802720966724,0.15
,,,,802633043481,0.15
,,,,802633055856,0.1
,,,,802633071673,0.1
,,,,802720952141,0.14
,,,,D00017352346,0.2
,,,,802720969308,0.15
,,,,880153067483526601,0.35
,,,,200172513041,0.2
,,,,802633079635,0.1
,,,,802824902848,0.14
,,,,802720869597,0.8
,,,,802720869597,0.8
,,,,802632923539,0.05
,,,,802720867577,0.15
,,,,802633015106,0.15
,,,,802633022583,0.15
,,,,802367165784,0.5
,,,,802632743911,0.45
,,,,802632921942,0.25
,,,,802632780154,0.06
,,,,802632797786,0.05
,,,,802824908755,0.15
,,,,802720832381,0.1
,,,,802824902181,0.12
,,,,802720940376,0.15
,,,,802824924060,0.2
,,,,802633060488,0.12
,,,,802720972252,0.06
,,,,802632922403,0.05
,,,,802720959458,0.1
,,,,880148910243910540,0.15
,,,,100363342393,3.9
,,,,802720911527,0.15
,,,,802633050367,0.1
,,,,802824945390,0.2
,,,,802632928834,0.32
,,,,802633056024,0.05
,,,,802633081909,0.45
,,,,802632766096,0.1
,,,,802633057638,0.1
,,,,802632753348,0.1
,,,,802720947375,0.15
,,,,100348098017,1.05
,,,,880150980584081257,0.4
,,,,802632922954,0.15
,,,,100360418104,0.33
,,,,880151102942243873,0.65
,,,,802633052371,0.08
,,,,802824915219,0.1
,,,,880153843534516500,1.1
,,,,802633083360,0.04
,,,,802632923509,0.15
,,,,802546979153,0.15
,,,,802720940902,0.14
,,,,880150286390607419,0.1
,,,,880149444955859934,0.86
,,,,880149904617647813,0.85
,,,,802720933396,0.15
,,,,802824946531,0.12
,,,,880146870995192368,0.7
,,,,880147049640910540,0.28
,,,,802633078915,0.16
,,,,880149923350990348,0.1
,,,,802720958529,0.1
,,,,500132997218,3.6
,,,,802720950901,0.05
,,,,802824913039,0.25
,,,,802720918881,0.16
,,,,802633078466,0.05
,,,,802720949316,0.06
,,,,880146471040051954,0.2
,,,,802632936808,0.4
,,,,500132988234,28.9
,,,,802632798555,0.15
,,,,802824914269,0.3
,,,,802720961168,0.15
,,,,560093812214,0.99
,,,,100363334667,0.3
,,,,500147999420,0.2
,,,,880152034271980247,0.85
,,,,802720982538,0.1
,,,,8968322941,0.1
,,,,880150753702738722,0.25
,,,,802632930629,0.15
,,,,802720943356,0.15
,,,,880150372696293378,0.86
,,,,802720948218,0.05
,,,,802633071150,0.12
,,,,100246989697,1.75
,,,,802632923702,0.4
,,,,802546920532,0.1
,,,,802632863438,0.3
,,,,880150965601839732,0.45
,,,,802824921658,0.25
,,,,560039189886,0.35
,,,,500133889372,0.3
,,,,802632743504,0.4
,,,,100360418786,0.35
,,,,802367164042,0.05
,,,,802824900341,0.16
,,,,880140710493768025,0.16
,,,,802720967853,0.1
,,,,802720929327,0.15
,,,,100363304776,0.46
,,,,880152471885162065,0.15
,,,,500132997210,2.6
,,,,802720901238,0.05
,,,,100360196419,0.45
,,,,100363334822,0.15
,,,,802632791491,0.04
,,,,200166959926,0.28
,,,,802720968697,0.08
,,,,802824924675,0.25
,,,,500132997796,0.1
,,,,880149524877445893,0.3
,,,,500148572817,0.2
,,,,802633068552,0.06
,,,,500148572882,0.15
,,,,200171826211,0.3
,,,,100363304037,0.22
,,,,880150263713637712,0.3
,,,,802720926879,0.08
,,,,802633022014,0.15
,,,,100360189455,0.5
,,,,802720928788,0.15
,,,,100360418798,0.35
,,,,802824907639,0.08
,,,,500147980328,0.24
,,,,880150301220697318,0.85
,,,,802824900444,0.15
,,,,802720976158,0.1
,,,,802720832702,0.05
,,,,802824901343,0.1
,,,,802632793300,0.1
,,,,200166959964,0.81
,,,,802720926584,0.1
,,,,802632757791,0.1
,,,,802824943612,0.15
,,,,802633046397,0.25
,,,,802824904932,0.08
,,,,100363326779,0.35
,,,,802720932978,0.15
,,,,802367164601,0.5
,,,,802632866612,0.1
,,,,802824914149,0.15
,,,,802720975486,0.15
,,,,802824911108,0.45
,,,,802546977613,0.25
,,,,100374198050,0.15
,,,,880149917228980247,1.22
,,,,802632924782,0.2
,,,,802720901053,0.04
,,,,802632776695,0.1
,,,,500132988231,13.35
,,,,880149201855788227,0.84
,,,,802824946642,0.1
,,,,802824947387,0.1
,,,,560079876464,0.75
,,,,802720890352,0.16
,,,,802720958271,0.08
,,,,802720960456,0.05
,,,,802632936710,0.15
,,,,802720972473,0.1
,,,,880149438392091358,0.35
,,,,560093814287,0.25
,,,,100363329519,0.15
,,,,500132955718,1.46
,,,,880147800183889237,0.2
,,,,802632796803,0.08
,,,,802632745039,0.5
,,,,880149801376425691,0.3
,,,,802546979056,0.15
,,,,802824916936,0.25
,,,,802720934663,0.15
,,,,100363326568,0.5
,,,,802152756855,0.08
,,,,880147949696859934,0.2
,,,,500132953886,0.25
,,,,802824918071,0.2
,,,,802152756689,0.09
,,,,802720946600,0.15
,,,,802632783354,0.02
,,,,880150062159081257,0.86
,,,,802720913897,0.2
,,,,100360187156,0.35
,,,,802720903586,0.15
,,,,802720911617,0.15
,,,,880152450737021651,0.3
,,,,802720941129,0.14
,,,,802633076637,0.06
,,,,100360196366,0.1
,,,,500132966686,0.64
,,,,802720899098,0.2
,,,,802720914213,0.15
,,,,802824921097,0.25
,,,,802632734977,0.5
,,,,802720937933,0.08
,,,,802720949801,0.1
,,,,880153691311455994,0.26
,,,,802720932744,0.15
,,,,500147980084,0.37
,,,,802720925578,0.15
,,,,880153098924031752,0.25
,,,,802824903253,0.15
,,,,200172513059,0.5
,,,,802720951018,0.15
,,,,802720933693,0.1
,,,,100363326768,0.09
,,,,100360418864,0.67
,,,,802546975124,0.15
,,,,802633061348,0.08
,,,,880145677845839732,0.35
,,,,100374194545,0.3
,,,,880153795039243873,0.36
,,,,802546976266,0.25
,,,,802632744135,0.4
,,,,500132962706,0.65
,,,,880149904616485297,0.88
,,,,802720910860,0.15
,,,,802824919912,0.2
,,,,802720936271,0.15
,,,,802720955154,0.1
,,,,880146747680748823,0.15
,,,,802547003074,0.2
,,,,802720973227,0.1
,,,,802720931300,0.05
,,,,880151479797798328,0.22
,,,,802546973450,0.25
,,,,802633052622,0.15
,,,,802720832722,0.1
,,,,802720932985,0.08
,,,,500132962662,1.9
,,,,802633054819,0.1
,,,,100306951692,0.2
,,,,880152574082081257,1.8
,,,,802152756416,0.1
,,,,802633050281,0.15
,,,,802824922995,0.15
,,,,802720905931,0.05
,,,,802720950273,0.08
,,,,802633051581,0.1
,,,,802720945930,0.1
,,,,802633080680,0.05
,,,,802632741089,0.5
,,,,880148827599384287,0.45
,,,,802824915677,0.25
,,,,802824901220,0.05
,,,,802632789236,0.1
,,,,802824913528,0.1
,,,,100360418287,0.23
,,,,802824922808,0.15
,,,,100363334837,0.75
,,,,802720892345,0.25
,,,,802720978933,0.1
,,,,100293625308,0.12
,,,,802632914476,0.15
,,,,802720895911,0.4
,,,,500132981971,0.2
,,,,500147990876,0.95
,,,,802367165212,0.05
,,,,802633083870,0.15
,,,,802720848062,0.15
,,,,802720872764,0.15
,,,,802824901927,0.15
,,,,802720952394,0.05
,,,,802824904166,0.15
,,,,802633046487,0.1
,,,,802720981807,0.1
,,,,200171838294,1.32
,,,,802633059232,0.08
,,,,802632934958,0.15
,,,,802632744026,0.45
,,,,802720988155,0.1
,,,,802632923826,0.15
,,,,802720902949,0.15
,,,,560093847356,0.45
,,,,802632789509,0.1
,,,,802720974897,0.15
,,,,802632757370,0.2
,,,,802720934415,0.05
,,,,100360196397,0.2
,,,,100348083512,0.05
,,,,880143387342243873,0.15
,,,,802633066460,0.15
,,,,802720929232,0.15
,,,,802824940194,0.25
,,,,200171826651,0.15
,,,,500132962563,1
,,,,880150013412415590,0.35
,,,,500132958956,0.05
,,,,802632799173,0.1
,,,,500132975990,0.25
,,,,802546979284,0.1
,,,,880143946734122661,0.45
,,,,802547008574,0.15
,,,,100363334762,0.7
,,,,802824922052,0.45
,,,,802824907849,0.05
,,,,802720934239,0.25
,,,,802720937956,0.05
,,,,802720959348,0.15
,,,,802720964180,0.06
,,,,200171819247,0.05
,,,,802720912230,0.25
,,,,802720867522,0.1
,,,,802720959781,0.08
,,,,802546971569,0.25
,,,,802720871728,0.05
,,,,802632936228,0.05
,,,,880149225634506409,0.12
,,,,802824905084,0.1
,,,,880151629529061055,0.35
,,,,802633022119,0.2
,,,,802632928107,0.6
,,,,880151134568182267,1
,,,,802720965898,0.1
,,,,802720933614,0.15
,,,,802632711542,0.14
,,,,100348066369,1.65
,,,,802824903183,0.1
,,,,802633071452,0.08
,,,,802633071275,0.08
,,,,802632777213,0.1
,,,,802632773848,0.1
,,,,802632921755,0.4
,,,,100360188399,0.85
,,,,880150062154485297,0.8
,,,,880150364799556904,0.88
,,,,802633064525,0.06
,,,,802720897932,0.1
,,,,880150224686798328,0.4
,,,,802633071428,0.14
,,,,802720978529,0.32
,,,,802367165153,0.05
,,,,802633041354,0.1
,,,,802720877207,0.05
,,,,802720978637,0.2
,,,,802720945056,0.12
,,,,802720931419,0.05
,,,,802720835583,0.1
,,,,100363329718,0.55
,,,,802824910209,0.4
,,,,802367166281,0.05
,,,,802720902832,0.05
,,,,802633047653,0.1
,,,,802720984687,0.1
,,,,802720939774,0.1
,,,,802632930483,0.06
,,,,802720947116,0.15
,,,,802720973985,0.1
,,,,D00011350523,0.1
,,,,802824910982,0.25
,,,,560093814846,19.15
,,,,200172513086,0.75
,,,,802720866484,0.18
,,,,100360189347,1.4
,,,,880148392009839732,0.2
,,,,802720887717,0.1
,,,,802720927237,0.15
,,,,8968323283,0.1
,,,,100363311043,0.07
,,,,802720939439,0.18
,,,,802633073407,0.1
,,,,802824941021,0.1
,,,,880151503497122661,0.28
,,,,802633068011,0.08
,,,,802633069731,0.08
,,,,802632739147,0.65
,,,,802720880070,0.08
,,,,802367166547,0.3
,,,,802720944242,0.12
,,,,802720848321,0.1
,,,,880150754776637712,0.75
,,,,802632930770,0.15
,,,,802546976094,0.15
,,,,802632925197,0.15
,,,,802720948259,0.05
,,,,802824901186,0.1
,,,,802720895872,0.1
,,,,802720923273,0.1
,,,,802720818332,0.05
,,,,880149376695263075,0.2
,,,,500148572106,0.9
,,,,802546979697,0.2
,,,,802720873962,0.15
,,,,802633015468,0.2
,,,,802546970922,0.3
,,,,802633075439,0.1
,,,,880154971900677116,0.05
,,,,802720935353,0.1
,,,,802632939039,0.15
,,,,802633041603,0.1
,,,,802633077759,0.14
,,,,802632796281,0.15
,,,,100374194076,0.7
,,,,802632923216,0.15
,,,,880142288803485297,0.3
,,,,880149414148405499,0.88
,,,,802633077587,0.1
,,,,500132966899,0.76
,,,,802824904637,0.1
,,,,802720924069,0.1
,,,,802720924069,0.1
,,,,802720942303,0.1
,,,,880151193319425691,0.3
,,,,802720948273,0.05
,,,,500133889309,1.05
,,,,802632782296,0.1
,,,,802824915024,0.1
,,,,802632745028,0.5
,,,,880149305604162065,0.25
,,,,802546979801,0.25
,,,,802632739482,0.5
,,,,100306955947,0.07
,,,,802367166118,0.5
,,,,802632741603,0.35
,,,,100360418819,0.35
,,,,802633065942,0.1
,,,,802720927996,0.15
,,,,802632738472,0.35
,,,,802720925371,0.15
,,,,802720893647,0.2
,,,,802824944230,0.08
,,,,802720904160,0.15
,,,,802720926697,0.15
,,,,802633081711,0.05
,,,,880150965593980247,0.6
,,,,802633084483,0.05
,,,,802633057476,0.06
,,,,802720945188,0.1
,,,,100360189363,1.05
,,,,802633018128,0.25
,,,,802632934944,0.1
,,,,802720942998,0.14
,,,,880149454653970146,0.2
,,,,802633040764,0.1
,,,,802632787270,0.1
,,,,802632849576,0.1
,,,,880151458207950944,0.06
,,,,100363327088,0.7
,,,,802633079563,0.15
,,,,802633079883,0.1
,,,,802632753360,0.1
,,,,560093827182,14.3
,,,,500132995860,0.7
,,,,802632936516,0.55
,,,,600066090140,1.2
,,,,880147902724576106,0.35
,,,,802720886654,0.2
,,,,100360196396,0.4
,,,,500132958313,1.75
,,,,880150832872283277,0.85
,,,,802633048764,0.15
,,,,100195174420,0.1
,,,,802824912357,0.12
,,,,100363326171,5.5
,,,,880149209637869035,0.85
,,,,802633078764,0.12
,,,,802720875757,0.12
,,,,500132997849,0.4
,,,,500132997849,0.4
,,,,802824920815,0.2
,,,,802632922974,0.35
,,,,802824906464,0.08
,,,,802632740637,0.45
,,,,802824943822,0.16
,,,,802633049386,0.12
,,,,100363311405,0.1
,,,,802720905251,0.05
,,,,880150554172819530,0.3
,,,,802632922260,0.2
,,,,880150311180192368,0.3
,,,,802720964062,0.06
,,,,802632924938,0.2
,,,,880148910242758924,0.2
,,,,500132958194,0.93
,,,,200172513104,0.15
,,,,802824908427,0.2
,,,,802633019224,0.15
,,,,802633076705,0.06
,,,,802824923529,0.2
,,,,802633041058,0.06
,,,,802546978404,0.24
,,,,880149832918334782,0.35
,,,,D00011350696,0.65
,,,,D00011350696,0.65
,,,,802720972641,0.18
,,,,802720905984,0.05
,,,,802720927601,0.2
,,,,802720947027,0.1
,,,,880150031080869035,0.85
,,,,802632744842,0.4
,,,,802720969834,0.1
,,,,880147925575879136,0.25
,,,,500132953802,0.15
,,,,802720909849,0.04
,,,,802824948924,0.04
,,,,802632783873,0.05
,,,,802824903511,0.2
,,,,802720940505,0.1
,,,,802632939232,0.15
,,,,100348092985,0.1
,,,,802633081513,0.05
,,,,880150168754798328,0.82
,,,,100360418346,0.13
,,,,802720812873,0.18
,,,,100348081831,3.15
,,,,880149352265990348,0.06
,,,,802367165248,0.05
,,,,802720941718,0.15
,,,,802632788341,0.1
,,,,802720987016,0.08
,,,,802824920023,0.1
,,,,8968323276,0.1
,,,,802720944018,0.05
,,,,802633021832,0.25
,,,,802720946682,0.1
,,,,802720931849,0.06
,,,,802720890919,0.4
,,,,802632922391,0.15
,,,,802720925303,0.15
,,,,802633085065,0.05
,,,,802824900103,0.2
,,,,200172513113,0.45
,,,,802720901610,0.1
,,,,500132997381,0.05
,,,,880148648904203479,0.18
,,,,100306951703,0.2
,,,,100374194935,24.3
,,,,100374194936,24.98
,,,,100348083527,0.05
,,,,802633053620,0.2
,,,,200172513164,0.15
,,,,880149898516415590,0.42
,,,,802720970823,0.06
,,,,802632936240,0.2
,,,,802824907450,0.14
,,,,802632788620,0.15
,,,,802632922962,0.1
,,,,802720927489,0.1
,,,,802720937971,0.12
,,,,100363327087,0.71
,,,,802720932117,0.15
,,,,802720923690,0.1
,,,,802633075795,0.15
,,,,802720988624,0.15
,,,,802720946362,0.1
,,,,802720980097,0.1
,,,,880150333848354984,0.18
,,,,802633080779,0.25
,,,,802633066500,0.2
,,,,802720905850,0.05
,,,,880152932123647813,0.15
,,,,802720891820,0.15
,,,,880151200882495398,0.1
,,,,802633010328,0.1
,,,,200164193135,0.25
,,,,802720953370,0.28
,,,,802633053698,0.2
,,,,802720937781,0.15
,,,,802720936766,0.12
,,,,802633076015,0.1
,,,,802633045113,0.14
,,,,802720935287,0.05
,,,,802720935287,0.05
,,,,802720904281,0.1
,,,,802633070148,0.15
,,,,802720984560,0.2
,,,,880151428316586207,0.2
,,,,200172513058,0.75
,,,,802632924928,0.05
,,,,802367158681,0.05
,,,,802367158681,0.05
,,,,880151055434819530,0.2
,,,,802720839455,0.3
,,,,802632788011,0.15
,,,,500132975469,1.05
,,,,802720922075,0.1
,,,,802824941560,0.3
,,,,802720918505,0.15
,,,,802824913510,0.25
,,,,802632929835,0.7
,,,,802633087123,0.08
,,,,802633041909,0.1
,,,,802720965243,0.15
,,,,802720924365,0.15
,,,,500147999335,0.9
,,,,802824905922,0.08
,,,,802720876290,0.1
,,,,802632934491,0.35
,,,,802152756277,0.2
,,,,802633072140,0.1
,,,,802547008442,0.3
,,,,802633070275,0.08
,,,,802720919406,0.1
,,,,802632775862,0.15
,,,,880150153698506409,0.25
,,,,802633014343,0.1
,,,,500132955477,0.35
,,,,802632905637,0.3
,,,,802720959655,0.08
,,,,802720895207,0.08
,,,,802824917707,0.2
,,,,880149485733182267,1.4
,,,,802720853101,0.11
,,,,802633072432,0.2
,,,,802720939349,0.04
,,,,802824941614,0.1
,,,,802720937373,0.1
,,,,802720898260,0.04
,,,,880149477538647813,0.1
,,,,100360188796,0.1
,,,,802720906190,0.1
,,,,880148463774465095,0.1
,,,,802720858388,0.15
,,,,802720878176,0.1
,,,,802720925468,0.15
,,,,802632787132,0.08
,,,,802632798589,0.1
,,,,802632787132,0.08
,,,,802632922329,0.05
,,,,802720888104,0.04
,,,,802720894318,0.2
,,,,500148572400,1.2
,,,,802720922839,0.05
,,,,802824905395,0.1
,,,,500132955841,0.53
,,,,802824910441,0.4
,,,,100374194419,3.4
,,,,802720925940,0.16
,,,,802632938485,0.25
,,,,880150933972748823,0.2
,,,,500127324440,0.85
,,,,802720920962,0.12
,,,,200166959955,0.37
,,,,802367163973,0.15
,,,,802720916222,0.15
,,,,802720857836,0.02
,,,,802824940866,0.12
,,,,802720880369,0.15
,,,,880149492827344883,0.18
,,,,802632922462,0.15
,,,,802546977460,0.25
,,,,500147988724,0.05
,,,,500147988724,0.05
,,,,802633071785,0.08
,,,,802633072090,0.04
,,,,802720936161,0.1
,,,,802632927057,0.55
,,,,802632847264,0.15
,,,,600066068961,0.25
,,,,802546978362,0.28
,,,,100363312102,0.2
,,,,802720943674,0.05
,,,,802720926132,0.1
,,,,802633061744,0.04
,,,,802720868384,0.1
,,,,802824923462,0.3
,,,,802720900963,0.04
,,,,880150754780809439,0.3
,,,,802720975461,0.1
,,,,802824900482,0.1
,,,,802632770825,0.1
,,,,880151947157708429,0.15
,,,,100360194689,0.4
,,,,802632794720,0.1
,,,,802720914373,0.1
,,,,802720877178,0.15
,,,,500132958266,1.87
,,,,802824911851,0.1
,,,,200171833570,0.2
,,,,880149776652445893,0.65
,,,,802720920458,0.1
,,,,802720981394,0.1
,,,,100348095753,0.35
,,,,802720973172,0.1
,,,,100360194099,0.6
,,,,500132962547,0.75
,,,,100363304062,2.05
,,,,802720905993,0.06
,,,,200172482219,6.1
,,,,880151629555112560,0.3
,,,,100363334666,0.65
,,,,880152450825213570,0.4
,,,,802720940242,0.1
,,,,802824903502,0.05
,,,,200166959471,0.53
,,,,802633077086,0.05
,,,,802633057011,0.1
,,,,802720923763,0.1
,,,,802633012748,0.14
,,,,802633011536,0.1
,,,,560093845000,0.15
,,,,100363329881,0.25
,,,,802720944885,0.12
,,,,802824916460,0.15
,,,,600067279046,0.25
,,,,600067279046,0.25
,,,,802720911857,0.05
,,,,880151315682990348,0.86
,,,,880153091057990348,0.65
,,,,802546920180,0.13
,,,,200172513109,0.15
,,,,802546974532,0.25
,,,,802720985970,0.15
,,,,880149209646435792,0.86
,,,,802720939387,0.08
,,,,100363334145,1.1
,,,,802720973678,0.12
,,,,880150335158900449,0.3
,,,,802720868820,0.15
,,,,500147980019,0.37
,,,,802720876358,0.15
,,,,880147688138475196,0.45
,,,,802720942485,0.14
,,,,500147999427,0.45
,,,,880148705316990348,0.36
,,,,880150406360778126,0.15
,,,,500147980047,0.37
,,,,802546978705,0.15
,,,,802546970020,0.25
,,,,500132988249,8.55
,,,,880149494854657914,0.25
,,,,802633067905,0.08
,,,,802720963437,0.16
,,,,560079881995,0.18
,,,,802632784349,0.05
,,,,802824922710,0.05
,,,,802720957325,0.2
,,,,802720806922,0.2
,,,,500147980428,2.1
,,,,802720882711,0.15
,,,,802824901992,0.08
,,,,802633068176,0.34
,,,,500132971591,3.2
,,,,802720964551,0.15
,,,,802632788430,0.1
,,,,802720919928,0.15
,,,,880148609495748823,0.3
,,,,880147601410728621,0.2
,,,,802632799381,0.05
,,,,802633066529,0.05
,,,,802720934195,0.1
,,,,802632937082,0.15
,,,,802720910172,0.15
,,,,802633061028,0.06
,,,,880153012940879136,0.45
,,,,802824942963,0.25
,,,,802720806448,0.05
,,,,802824900080,0.15
,,,,200172513013,0.3
,,,,8968323061,0.05
,,,,802632780769,0.1
,,,,100363326699,0.1
,,,,880151781418465095,0.2
,,,,100306955852,5.61
,,,,802720947366,0.2
,,,,802720934328,0.15
,,,,500148572336,2
,,,,500132975383,10.35
,,,,802632781022,0.1
,,,,802720956006,0.1
,,,,802720963755,0.16
,,,,500148572648,2.01
,,,,802720911895,0.08
,,,,802632924298,0.3
,,,,802632766831,0.1
,,,,802720978872,0.14
,,,,802720946011,0.05
,,,,802720902162,0.1
,,,,802632930144,0.15
,,,,802720987336,0.15
,,,,802633051324,0.1
,,,,802720939510,0.12
,,,,802632923789,0.2
,,,,802632933710,0.15
,,,,802824907891,0.1
,,,,500132955836,0.08
,,,,802824915811,0.3
,,,,802632791119,0.15
,,,,802633012964,0.14
,,,,802632965341,0.05
,,,,802720928390,0.12
,,,,802632870594,0.4
,,,,880151688025637712,0.25
,,,,802720914732,0.2
,,,,802633015737,0.15
,,,,802546975191,0.15
,,,,880152520796132762,0.2
,,,,802720940186,0.2
,,,,100363329903,0.8
,,,,200166959969,0.3
,,,,802632769501,0.15
,,,,802824906257,0.08
,,,,802720929684,0.1
,,,,802633086599,0.06
,,,,802720929796,0.05
,,,,880151333917920641,0.3
,,,,802720900025,0.35
,,,,802632743377,0.4
,,,,880152386523283277,0.25
,,,,802632921997,0.7
,,,,880151103355566005,0.5
,,,,802720977404,0.12
,,,,880151788229425691,0.08
,,,,802367164309,0.25
,,,,802632921651,0.25
,,,,880149964934809439,0.25
,,,,802632742303,0.5
,,,,802367166032,0.5
,,,,802633080668,0.2
,,,,802720940179,0.15
,,,,802633054937,0.05
,,,,802632792009,0.1
,,,,100363327212,0.49
,,,,802633045663,0.15
,,,,802720898732,0.15
,,,,802720942908,0.14
,,,,200172544005,0.2
,,,,3619314823,0.9
,,,,802720954712,0.05
,,,,500148572482,0.95
,,,,100363326551,0.1
,,,,880143161101223671,0.05
,,,,880141999381829631,0.1
,,,,880148354400213570,0.15
,,,,802632786676,0.1
,,,,802720908374,0.15
,,,,880151978680708429,0.35
,,,,880143477425819530,0.2
,,,,802632794591,0.1
,,,,802720896452,0.2
,,,,802720961234,0.15
,,,,802633067534,0.1
,,,,802633075957,0.1
,,,,802633072212,0.05
,,,,802720922903,0.1
,,,,802720908903,0.05
,,,,802720987120,0.08
,,,,802720945136,0.1
,,,,802367164730,0.35
,,,,802632789586,0.15
,,,,100348084068,0.25
,,,,880149524604475196,0.2
,,,,100363311212,0.6
,,,,880147918644354984,0.2
,,,,802824900516,0.2
,,,,802632741074,0.46
,,,,802632871908,0.1
,,,,802633050931,0.15
,,,,880153411654950944,0.5
,,,,802633060274,0.14
,,,,880151357651980247,0.3
,,,,802632760695,0.1
,,,,802632764378,0.25
,,,,802632930643,0.15
,,,,802824900252,0.14
,,,,802632776420,0.1
,,,,100325904321,0.05
,,,,880148550448758924,0.3
,,,,802632770023,0.1
,,,,802720938102,0.1
,,,,802632752579,0.06
,,,,802720927024,0.05
,,,,802824903953,0.15
,,,,802824920322,0.25
,,,,880151645372930742,0.26
,,,,802633070165,0.15
,,,,100360196709,14.8
,,,,880149516786112560,0.2
,,,,802632743901,0.45
,,,,802824911744,0.2
,,,,880149408906324681,0.35
,,,,100348098040,1
,,,,100363326558,0.12
,,,,802720888160,0.05
,,,,880152520792990348,0.4
,,,,802720942613,0.15
,,,,802824917861,0.3
,,,,802720960510,0.05
,,,,802633071913,0.08
,,,,500133889454,0.56
,,,,200172513078,1.2
,,,,500132995600,0.2
,,,,880151079417152964,0.3
,,,,500147990637,0.21
,,,,880147616833738722,0.16
,,,,802720907416,0.2
,,,,802633063806,0.1
,,,,802720956981,0.15
,,,,802720933830,0.2
,,,,802633072498,0.08
,,,,802633070790,0.1
,,,,880150845862667015,0.5
,,,,500147988760,0.05
,,,,802720981282,0.15
,,,,880151030010283277,0.5
,,,,802720982911,0.15
,,,,802632793982,0.05
,,,,802824900826,0.1
,,,,802720868659,0.05
,,,,100363326561,0.24
,,,,802633073857,0.15
,,,,880153383258586207,0.2
,,,,802720934604,0.05
,,,,880151788230819530,0.16
,,,,100360189211,0.65
,,,,100348098985,0.4
,,,,802633076306,0.05
,,,,802720943570,0.1
,,,,802720975340,0.15
,,,,802720951238,0.15
,,,,100016504960,36.95
,,,,802720930945,0.3
,,,,802546967443,0.25
,,,,802633070991,0.15
,,,,802633047586,0.05
,,,,802632799113,0.1
,,,,100348098356,1.26
,,,,802720926171,0.12
,,,,500132955694,0.13
,,,,802824900646,0.1
,,,,500147980422,0.34
,,,,500127316336,0.2
,,,,100016504961,36.85
,,,,100016504962,26.5
,,,,880149321278576106,0.45
,,,,802633056541,0.15
,,,,100348124375,0.6
,,,,802720872185,0.05
,,,,802720917530,0.2
,,,,880150845865344883,0.3
,,,,802632932970,0.15
,,,,100360194073,1
,,,,802720948965,0.18
,,,,802720790862,0.2
,,,,802632799935,0.2
,,,,802824901335,0.25
,,,,100360196435,1.25
,,,,802720846789,0.14
,,,,802720905713,0.05
,,,,802632861138,0.35
,,,,802824915204,0.15
,,,,802824908707,0.05
,,,,200171826658,0.15
,,,,802632837340,0.1
,,,,802720966814,0.15
,,,,802632738483,0.6
,,,,880153059962748823,0.2
,,,,880153059962748823,0.2
,,,,100325335828,0.38
,,,,802546978559,0.1
,,,,802720937740,0.2
,,,,802720941273,0.15
